iter	Logloss
0	0.6320736338
1	0.5749004185
2	0.5252135626
3	0.4853136915
4	0.4519640363
5	0.4217993027
6	0.3962065985
7	0.3742465356
8	0.3552067881
9	0.339138636
10	0.3256415838
11	0.3129849221
12	0.3025364566
13	0.2938921294
14	0.2859342522
15	0.2792115304
16	0.2720585884
17	0.2671080005
18	0.2624379758
19	0.2578567222
20	0.2533972404
21	0.2493622587
22	0.2464591779
23	0.2434128654
24	0.240947432
25	0.2384070852
26	0.2357576421
27	0.2336960811
28	0.2315013874
29	0.2294960685
30	0.2278901953
31	0.2267570538
32	0.2251173898
33	0.223761491
34	0.2225856101
35	0.2214992317
36	0.2202993197
37	0.2189731986
38	0.2178835864
39	0.2168410025
40	0.2160176451
41	0.2151003903
42	0.2141812164
43	0.2134600319
44	0.2128514957
45	0.2122157158
46	0.2117617033
47	0.2110767799
48	0.2105285836
49	0.2100883864
50	0.2095318352
51	0.2089347923
52	0.2083926925
53	0.2079966024
54	0.2075357617
55	0.207093921
56	0.206744345
57	0.2064077943
58	0.2059618239
59	0.205643144
60	0.2052314998
61	0.204973425
62	0.2046556676
63	0.2042662095
64	0.203995756
65	0.2037230601
66	0.2035466419
67	0.2032595051
68	0.2029521967
69	0.2027415265
70	0.202548971
71	0.2023490572
72	0.2021358742
73	0.2019508678
74	0.2017107062
75	0.2014982548
76	0.2012342742
77	0.2010328125
78	0.2007681375
79	0.2005728995
80	0.2003987185
81	0.2002317844
82	0.2000439736
83	0.1999271425
84	0.1997364213
85	0.1995982523
86	0.1994561391
87	0.1993223968
88	0.1991674278
89	0.199025691
90	0.1989026892
91	0.1987640484
92	0.1986395357
93	0.198511047
94	0.1983979958
95	0.1982987387
96	0.1981988825
97	0.1980778422
98	0.197977387
99	0.1978736873
100	0.1977725111
101	0.1976546728
102	0.1975502946
103	0.1974814089
104	0.1973641325
105	0.197267823
106	0.1971734749
107	0.1970880331
108	0.1969905732
109	0.1968939031
110	0.1967799136
111	0.1966816956
112	0.1965979396
113	0.1964949981
114	0.1964084695
115	0.1963187177
116	0.1962356668
117	0.1961288235
118	0.1960640834
119	0.1959720998
120	0.1958984111
121	0.1958222784
122	0.1957768618
123	0.1956805469
124	0.1955968281
125	0.1955045582
126	0.1954367964
127	0.1953506442
128	0.1952884806
129	0.1952281407
130	0.1951505979
131	0.1950362638
132	0.1949330518
133	0.194869669
134	0.1948120963
135	0.1947256049
136	0.1946527273
137	0.1945859568
138	0.1945068819
139	0.1944168439
140	0.1943543145
141	0.1942779751
142	0.1942114008
143	0.1941418577
144	0.1940869729
145	0.1940064879
146	0.193953204
147	0.1938953505
148	0.1938060281
149	0.1937155765
150	0.1936339146
151	0.1935833238
152	0.1935294887
153	0.1934491308
154	0.1933717895
155	0.1932774839
156	0.1932308479
157	0.1931713933
158	0.193121004
159	0.1930636806
160	0.1929945722
161	0.1929213712
162	0.1928744543
163	0.1928132291
164	0.1927637463
165	0.192706126
166	0.1926262824
167	0.1925562145
168	0.1924796048
169	0.1924278265
170	0.1923950907
171	0.1923290094
172	0.1922966553
173	0.1922297576
174	0.1921785625
175	0.1921350332
176	0.1920596215
177	0.1920073397
178	0.1919561446
179	0.1918877042
180	0.1918222272
181	0.1917245287
182	0.1916462385
183	0.1916101469
184	0.1915697877
185	0.1915221392
186	0.1914785516
187	0.1914348632
188	0.1913912596
189	0.1913458801
190	0.1912885831
191	0.1912437709
192	0.1911920244
193	0.1911456483
194	0.1911015994
195	0.1910568878
196	0.1910188188
197	0.1909903082
198	0.1909510676
199	0.1908936435
200	0.1908844403
201	0.1908364101
202	0.1907851408
203	0.1907159264
204	0.1906495801
205	0.1905997845
206	0.1905371969
207	0.1904809973
208	0.1904557841
209	0.1903952427
210	0.1903539187
211	0.1903218562
212	0.1902428396
213	0.1901938764
214	0.190139246
215	0.1901147909
216	0.1900986006
217	0.1900330123
218	0.1899702497
219	0.1899372753
220	0.1898897859
221	0.189836942
222	0.1897996577
223	0.1897519509
224	0.1897032209
225	0.1896656609
226	0.1896050294
227	0.1895595014
228	0.1895008526
229	0.1894510253
230	0.1894181834
231	0.1893612417
232	0.1892929974
233	0.1892273031
234	0.1892001497
235	0.1891551677
236	0.1890906079
237	0.189036741
238	0.188975415
239	0.1889181074
240	0.1888626925
241	0.1887618927
242	0.1887069813
243	0.188643556
244	0.1885891483
245	0.1885211585
246	0.1884423169
247	0.1884001712
248	0.1883351661
249	0.1882892459
250	0.1882303903
251	0.1881604443
252	0.1881225238
253	0.1880611872
254	0.1880132366
255	0.1879959065
256	0.1879334036
257	0.1878872289
258	0.1878480572
259	0.1877695655
260	0.1877262005
261	0.1876614498
262	0.1875828627
263	0.187520275
264	0.1874652311
265	0.1873991233
266	0.1873406389
267	0.1872862047
268	0.1872503941
269	0.1871916711
270	0.1871107831
271	0.1870781851
272	0.1869921761
273	0.1869322921
274	0.1868893618
275	0.186843977
276	0.1867907939
277	0.1867293672
278	0.1866736606
279	0.1866269081
280	0.186590297
281	0.1865453681
282	0.1864826213
283	0.1864303606
284	0.1863831999
285	0.1863206864
286	0.1862509101
287	0.1862123004
288	0.1861695132
289	0.1861071429
290	0.1860648169
291	0.185995751
292	0.1859294789
293	0.1858777854
294	0.1858211353
295	0.1857864538
296	0.1857451086
297	0.1856914166
298	0.1856169539
299	0.185565833
300	0.185494461
301	0.1854381183
302	0.1853999486
303	0.185324309
304	0.1852790408
305	0.185232495
306	0.1851969442
307	0.1851553074
308	0.1851110995
309	0.185063382
310	0.1850192748
311	0.1849566712
312	0.1849130412
313	0.1848570165
314	0.1847954361
315	0.1847284907
316	0.1846716974
317	0.1846125344
318	0.1845817282
319	0.1845471476
320	0.1844900203
321	0.1844569134
322	0.1844073935
323	0.1843635301
324	0.1843299408
325	0.1842933509
326	0.1842246402
327	0.1841623122
328	0.1841228702
329	0.1840873883
330	0.1840377889
331	0.1839890377
332	0.1839515678
333	0.183891
334	0.1838441785
335	0.1838120019
336	0.1837523592
337	0.1837017817
338	0.1836384995
339	0.1835694495
340	0.1834993418
341	0.1834312858
342	0.1833744845
343	0.1833125595
344	0.1832745356
345	0.1832132016
346	0.1831829654
347	0.1831414983
348	0.1830922408
349	0.183038297
350	0.1829961645
351	0.1829408211
352	0.1828992294
353	0.1828382427
354	0.182791461
355	0.1827298991
356	0.1826980751
357	0.1826652227
358	0.1826173463
359	0.1825578121
360	0.1825177287
361	0.1824596312
362	0.1823918667
363	0.1823189785
364	0.1822634125
365	0.1822200899
366	0.1821493355
367	0.1820761557
368	0.1820485065
369	0.1819948039
370	0.181936004
371	0.1818630999
372	0.1817975673
373	0.1817489221
374	0.1817027792
375	0.1816378589
376	0.1816059104
377	0.1815670091
378	0.181531453
379	0.1814852544
380	0.1814418523
381	0.1813955874
382	0.1813383753
383	0.1812804422
384	0.1812337055
385	0.1811931767
386	0.1811702855
387	0.1811150137
388	0.1810791342
389	0.1810245648
390	0.1809637292
391	0.1809355074
392	0.1809060452
393	0.1808372974
394	0.180793874
395	0.1807577586
396	0.1807149529
397	0.1806784955
