iter	Passed	Remaining
0	76	38224
1	98	24505
2	119	19778
3	140	17422
4	161	16011
5	182	15030
6	203	14303
7	223	13715
8	243	13299
9	264	12941
10	285	12696
11	306	12482
12	327	12262
13	346	12037
14	367	11871
15	387	11736
16	409	11646
17	431	11550
18	451	11419
19	471	11317
20	491	11221
21	511	11122
22	532	11037
23	551	10936
24	571	10857
25	590	10765
26	609	10680
27	629	10605
28	649	10555
29	670	10498
30	693	10497
31	714	10442
32	734	10392
33	754	10338
34	773	10271
35	791	10201
36	810	10140
37	829	10088
38	848	10034
39	868	9986
40	887	9930
41	905	9872
42	925	9840
43	945	9800
44	966	9772
45	987	9745
46	1006	9702
47	1026	9667
48	1046	9628
49	1063	9567
50	1082	9526
51	1102	9496
52	1122	9466
53	1141	9428
54	1161	9397
55	1181	9368
56	1200	9327
57	1219	9289
58	1238	9253
59	1257	9225
60	1276	9188
61	1295	9153
62	1315	9122
63	1334	9090
64	1352	9053
65	1371	9021
66	1391	8993
67	1409	8957
68	1429	8930
69	1449	8906
70	1468	8873
71	1487	8840
72	1506	8813
73	1525	8780
74	1543	8745
75	1562	8714
76	1580	8683
77	1599	8652
78	1619	8628
79	1639	8604
80	1657	8576
81	1681	8569
82	1705	8567
83	1725	8544
84	1745	8521
85	1765	8500
86	1785	8475
87	1804	8447
88	1824	8425
89	1843	8400
90	1865	8382
91	1885	8363
92	1907	8347
93	1929	8331
94	1948	8306
95	1967	8280
96	1987	8258
97	2008	8238
98	2028	8214
99	2047	8189
100	2067	8167
101	2087	8145
102	2106	8120
103	2125	8092
104	2144	8065
105	2163	8040
106	2182	8015
107	2201	7989
108	2220	7963
109	2239	7938
110	2258	7915
111	2279	7896
112	2298	7871
113	2318	7850
114	2335	7819
115	2353	7792
116	2374	7771
117	2392	7746
118	2411	7721
119	2430	7695
120	2449	7671
121	2466	7641
122	2485	7617
123	2504	7594
124	2523	7570
125	2544	7552
126	2563	7529
127	2582	7506
128	2602	7483
129	2621	7461
130	2642	7442
131	2660	7417
132	2684	7406
133	2706	7392
134	2726	7372
135	2746	7351
136	2767	7333
137	2787	7312
138	2806	7289
139	2825	7266
140	2844	7242
141	2864	7221
142	2884	7201
143	2904	7179
144	2923	7157
145	2943	7137
146	2962	7114
147	2981	7090
148	3001	7069
149	3021	7049
150	3039	7024
151	3059	7005
152	3080	6985
153	3100	6966
154	3119	6944
155	3139	6922
156	3159	6901
157	3178	6880
158	3197	6858
159	3216	6834
160	3235	6813
161	3256	6793
162	3275	6771
163	3294	6749
164	3313	6727
165	3333	6707
166	3352	6685
